id,rama_derecho,texto_original,texto_limpieza_base,texto_limpio_lematizado
112,Laboral,El inspector de trabajo tramita la indemnización por las horas extras y recargos nocturnos bajo la gravedad de sanción por reincidencia o mora.,el inspector de trabajo tramita la indemnizacion por las horas extras y recargos nocturnos bajo la gravedad de sancion por reincidencia o mora,inspector trabajo tramito indemnizacion hora extra recargo nocturno gravedad sancion reincidencia mora
113,Civil_Y_Tierras,El acreedor hipotecario demanda la prescripción adquisitiva de los linderos oficiales certificados por el IGAC tras demostrarse una explotación agraria pacífica y continua.,el acreedor hipotecario demanda la prescripcion adquisitiva de los linderos oficiales certificados por el igac tras demostrarse una explotacion agraria pacifica y continua,acreedor hipotecario demandar prescripcion adquisitivo lindero oficial certificado igac demostrar él explotacion agrario pacifico continuo
114,Disciplinario_Policial,El funcionario de la procuraduría debe garantizar el derecho a de el incumplimiento estricto de la Constitución Política lo cual genera una investigación interna de carácter preferente.,el funcionario de la procuraduria debe garantizar el derecho a de el incumplimiento estricto de la constitucion politica lo cual genera una investigacion interna de caracter preferente,funcionario procuraduria garantizar derecho incumplimiento estricto constitucion politico generar investigacion interno caracter preferente
115,Etnico_Y_Victimas,El colectivo afrodescendiente administra justicia propia mediante la discriminación algorítmica e institucional para asegurar la supervivencia física y cultural del pueblo.,el colectivo afrodescendiente administra justicia propia mediante la discriminacion algoritmica e institucional para asegurar la supervivencia fisica y cultural del pueblo,colectivo afrodescendiente administra justicia discriminacion algoritmico institucional asegurar supervivencia fisico cultural pueblo
116,Familia,El menor de edad exige la restitución de los derechos del niño interviniente de forma inmediata para mitigar el riesgo inminente.,el menor de edad exige la restitucion de los derechos del niño interviniente de forma inmediata para mitigar el riesgo inminente,menor edad exigir restitucion derecho niño interviniente forma inmediato mitigar riesgo inminente
117,Laboral,El trabajador de la empresa reconoce la estabilidad laboral reforzada de el despido injustificado sin el debido proceso de manera inmediata tras la terminación del vínculo contractual.,el trabajador de la empresa reconoce la estabilidad laboral reforzada de el despido injustificado sin el debido proceso de manera inmediata tras la terminacion del vinculo contractual,trabajador empresa reconocer estabilidad laboral reforzado despido injustificado proceso inmediato terminacion vinculo contractual
118,Civil_Y_Tierras,El pequeño agricultor de la zona rural adelanta el proceso de pertenencia sobre el terreno rural explotado económicamente con base en los requisitos del Código Civil colombiano.,el pequeño agricultor de la zona rural adelanta el proceso de pertenencia sobre el terreno rural explotado economicamente con base en los requisitos del codigo civil colombiano,pequeño agricultor zona rural adelantar proceso pertenencia terreno rural explotado economicamente base requisito codigo civil colombiano
119,Disciplinario_Policial,El funcionario de la procuraduría debe garantizar el derecho a de el incumplimiento estricto de la Constitución Política salvo que concurra una causal de exclusión de responsabilidad.,el funcionario de la procuraduria debe garantizar el derecho a de el incumplimiento estricto de la constitucion politica salvo que concurra una causal de exclusion de responsabilidad,funcionario procuraduria garantizar derecho incumplimiento estricto constitucion politico concurrar causal exclusion responsabilidad
120,Etnico_Y_Victimas,"La población víctima del conflicto armado ejerce el derecho fundamental a la consulta previa, libre e informada financiado por el fondo nacional de atención a víctimas.",la poblacion victima del conflicto armado ejerce el derecho fundamental a la consulta previa libre e informada financiado por el fondo nacional de atencion a victimas,poblacion victimo conflicto armado ejercer derecho fundamental consulta previo libre informado financiado fondo nacional atencion victima
121,Familia,El alimentante declarará la existencia de la cuota alimentaria obligatoria de acuerdo con los ingresos reales demostrados.,el alimentante declarara la existencia de la cuota alimentaria obligatoria de acuerdo con los ingresos reales demostrados,alimentante declarar existencia cuota alimentario obligatorio ingreso real demostrado
122,Laboral,La trabajadora en estado de embarazo denuncia el acoso laboral y las horas extras y recargos nocturnos bajo la gravedad de sanción por reincidencia o mora.,la trabajadora en estado de embarazo denuncia el acoso laboral y las horas extras y recargos nocturnos bajo la gravedad de sancion por reincidencia o mora,trabajadora embarazo denunciar acoso laboral hora extra recargo nocturno gravedad sancion reincidencia mora
123,Civil_Y_Tierras,El pequeño agricultor de la zona rural está obligado a otorgar el contrato de arrendamiento de fincas tras demostrarse una explotación agraria pacífica y continua.,el pequeño agricultor de la zona rural esta obligado a otorgar el contrato de arrendamiento de fincas tras demostrarse una explotacion agraria pacifica y continua,pequeño agricultor zona rural obligado otorgar contrato arrendamiento finca demostrar él explotacion agrario pacifico continuo
124,Disciplinario_Policial,El miembro de la Policía Nacional debe garantizar el derecho a de la expedición de fallos sin sustento probatorio en concordancia con el Estatuto Disciplinario Policial Ley 2196.,el miembro de la policia nacional debe garantizar el derecho a de la expedicion de fallos sin sustento probatorio en concordancia con el estatuto disciplinario policial ley,miembro policia nacional garantizar derecho expedicion fallo sustento probatorio concordancia estatuto disciplinario policial ley
125,Etnico_Y_Victimas,La comunidad indígena ancestral administra justicia propia mediante los territorios colectivos inalienables por causa del desplazamiento forzado interno en zonas rurales.,la comunidad indigena ancestral administra justicia propia mediante los territorios colectivos inalienables por causa del desplazamiento forzado interno en zonas rurales,comunidad indigena ancestral administra justicia territorio colectivo inalienabl causa desplazamiento forzado interno zona rural
126,Familia,El juez promiscuo municipal solicita la regulación urgente de la unión marital de hecho patrimonial ante la notaría pública o centro de conciliación.,el juez promiscuo municipal solicita la regulacion urgente de la union marital de hecho patrimonial ante la notaria publica o centro de conciliacion,juez promiscuo municipal solicitar regulacion urgente union marital patrimonial notaria publico centro conciliacion
127,Laboral,El inspector de trabajo reconoce la estabilidad laboral reforzada de el salario mínimo legal mensual vigente de conformidad con los fallos hito de la Corte Suprema de Justicia.,el inspector de trabajo reconoce la estabilidad laboral reforzada de el salario minimo legal mensual vigente de conformidad con los fallos hito de la corte suprema de justicia,inspector trabajo reconocer estabilidad laboral reforzado salario minimo legal mensual vigente conformidad fallo hito corte supremo justicia
128,Civil_Y_Tierras,El acreedor hipotecario demanda la prescripción adquisitiva de la escritura pública ante el notario requiriendo el pago justo de una indemnización previa.,el acreedor hipotecario demanda la prescripcion adquisitiva de la escritura publica ante el notario requiriendo el pago justo de una indemnizacion previa,acreedor hipotecario demandar prescripcion adquisitivo escritura publicar notario requerir pago justo indemnizacion previo
129,Disciplinario_Policial,El personero municipal debe actuar bajo el principio de el abuso de autoridad contra los ciudadanos durante todas las actuaciones de la etapa de juzgamiento.,el personero municipal debe actuar bajo el principio de el abuso de autoridad contra los ciudadanos durante todas las actuaciones de la etapa de juzgamiento,personero municipal actuar principio abuso autoridad ciudadano actuación etapa juzgamiento
130,Etnico_Y_Victimas,La comunidad indígena ancestral tramita la devolución y saneamiento de el despojo violento de predios rurales con enfoque diferencial y de género para minorías étnicas.,la comunidad indigena ancestral tramita la devolucion y saneamiento de el despojo violento de predios rurales con enfoque diferencial y de genero para minorias etnicas,comunidad indigena ancestral tramito devolucion saneamiento despojo violento predio rural enfoque diferencial genero minoria etnica
131,Familia,El alimentante deberá fijar la cuota alimentaria obligatoria con base en el Código de la Infancia y la Adolescencia colombiana.,el alimentante debera fijar la cuota alimentaria obligatoria con base en el codigo de la infancia y la adolescencia colombiana,alimentante deberar fijar cuota alimentario obligatorio base codigo infancia adolescencia colombiano
132,Laboral,El juez laboral del circuito reconoce la estabilidad laboral reforzada de el despido injustificado sin el debido proceso dentro de los términos establecidos por el Código Sustantivo del Trabajo.,el juez laboral del circuito reconoce la estabilidad laboral reforzada de el despido injustificado sin el debido proceso dentro de los terminos establecidos por el codigo sustantivo del trabajo,juez laboral circuito reconocer estabilidad laboral reforzado despido injustificado proceso termino establecido codigo sustantivo trabajo
133,Civil_Y_Tierras,El juez civil municipal está obligado a otorgar la servidumbre de tránsito hacia la vía pública tras demostrarse una explotación agraria pacífica y continua.,el juez civil municipal esta obligado a otorgar la servidumbre de transito hacia la via publica tras demostrarse una explotacion agraria pacifica y continua,juez civil municipal obligado otorgar servidumbre transito via publicar demostrar él explotacion agrario pacifico continuo
134,Disciplinario_Policial,El servidor público incurre en falta gravísima por el abuso de autoridad contra los ciudadanos en concordancia con el Estatuto Disciplinario Policial Ley 2196.,el servidor publico incurre en falta gravisima por el abuso de autoridad contra los ciudadanos en concordancia con el estatuto disciplinario policial ley,servidor publico incurrir falta gravisimo abuso autoridad ciudadano concordancia estatuto disciplinario policial ley
135,Etnico_Y_Victimas,La población víctima del conflicto armado ejerce el derecho fundamental a el despojo violento de predios rurales para asegurar la supervivencia física y cultural del pueblo.,la poblacion victima del conflicto armado ejerce el derecho fundamental a el despojo violento de predios rurales para asegurar la supervivencia fisica y cultural del pueblo,poblacion victimo conflicto armado ejercer derecho fundamental despojo violento predio rural asegurar supervivencia fisico cultural pueblo
136,Familia,La madre cabeza de hogar exige la restitución de la custodia y cuidado personal del menor de forma inmediata para mitigar el riesgo inminente.,la madre cabeza de hogar exige la restitucion de la custodia y cuidado personal del menor de forma inmediata para mitigar el riesgo inminente,madre cabeza hogar exigir restitucion custodia cuidado personal menor forma inmediato mitigar riesgo inminente
137,Laboral,El empleador exige el reconocimiento de las horas extras y recargos nocturnos mediante previa autorización de la oficina judicial competente.,el empleador exige el reconocimiento de las horas extras y recargos nocturnos mediante previa autorizacion de la oficina judicial competente,empleador exigir reconocimiento hora extra recargo nocturno previo autorizacion oficina judicial competente
138,Civil_Y_Tierras,El poseedor del bien inmueble está obligado a otorgar el terreno rural explotado económicamente con base en los requisitos del Código Civil colombiano.,el poseedor del bien inmueble esta obligado a otorgar el terreno rural explotado economicamente con base en los requisitos del codigo civil colombiano,poseedor inmueble obligado otorgar terreno rural explotado economicamente base requisito codigo civil colombiano
139,Disciplinario_Policial,El servidor público debe garantizar el derecho a de el incumplimiento estricto de la Constitución Política garantizando siempre una función preventiva y correctiva de la ley.,el servidor publico debe garantizar el derecho a de el incumplimiento estricto de la constitucion politica garantizando siempre una funcion preventiva y correctiva de la ley,servidor publico garantizar derecho incumplimiento estricto constitucion politico garantizar funcion preventivo correctivo ley
140,Etnico_Y_Victimas,El colectivo afrodescendiente administra justicia propia mediante el despojo violento de predios rurales para asegurar la supervivencia física y cultural del pueblo.,el colectivo afrodescendiente administra justicia propia mediante el despojo violento de predios rurales para asegurar la supervivencia fisica y cultural del pueblo,colectivo afrodescendiente administra justicia despojo violento predio rural asegurar supervivencia fisico cultural pueblo
141,Familia,El defensor de familia declarará la existencia de la violencia intrafamiliar física y económica con base en el Código de la Infancia y la Adolescencia colombiana.,el defensor de familia declarara la existencia de la violencia intrafamiliar fisica y economica con base en el codigo de la infancia y la adolescencia colombiana,defensor familia declarar existencia violencia intrafamiliar fisico economicar base codigo infancia adolescencia colombiano
142,Laboral,El juez laboral del circuito denuncia el acoso laboral y el salario mínimo legal mensual vigente bajo la gravedad de sanción por reincidencia o mora.,el juez laboral del circuito denuncia el acoso laboral y el salario minimo legal mensual vigente bajo la gravedad de sancion por reincidencia o mora,juez laboral circuito denunciar acoso laboral salario minimo legal mensual vigente gravedad sancion reincidencia mora
143,Civil_Y_Tierras,El juez civil municipal exige el deslinde y amojonamiento de la escritura pública ante el notario con base en los requisitos del Código Civil colombiano.,el juez civil municipal exige el deslinde y amojonamiento de la escritura publica ante el notario con base en los requisitos del codigo civil colombiano,juez civil municipal exigir deslinde amojonamiento escritura publicar notario base requisito codigo civil colombiano
144,Disciplinario_Policial,El comité disciplinario de la entidad será sancionado con destitución e inhabilidad ante la expedición de fallos sin sustento probatorio salvo que concurra una causal de exclusión de responsabilidad.,el comite disciplinario de la entidad sera sancionado con destitucion e inhabilidad ante la expedicion de fallos sin sustento probatorio salvo que concurra una causal de exclusion de responsabilidad,comite disciplinario entidad sancionado destitucion inhabilidad expedicion fallo sustento probatorio concurrar causal exclusion responsabilidad
145,Etnico_Y_Victimas,La Unidad de Restitución de Tierras administra justicia propia mediante la discriminación algorítmica e institucional por causa del desplazamiento forzado interno en zonas rurales.,la unidad de restitucion de tierras administra justicia propia mediante la discriminacion algoritmica e institucional por causa del desplazamiento forzado interno en zonas rurales,unidad restitucion tierra administrar justicia discriminacion algoritmico institucional causa desplazamiento forzado interno zona rural
146,Familia,El menor de edad solicita la regulación urgente de la unión marital de hecho patrimonial con base en el Código de la Infancia y la Adolescencia colombiana.,el menor de edad solicita la regulacion urgente de la union marital de hecho patrimonial con base en el codigo de la infancia y la adolescencia colombiana,menor edad solicitar regulacion urgente union marital patrimonial base codigo infancia adolescencia colombiano
147,Laboral,El empleador prohíbe la retención ilegal de el despido injustificado sin el debido proceso de manera inmediata tras la terminación del vínculo contractual.,el empleador prohibe la retencion ilegal de el despido injustificado sin el debido proceso de manera inmediata tras la terminacion del vinculo contractual,empleador prohibir retencion ilegal despido injustificado proceso inmediato terminacion vinculo contractual
148,Civil_Y_Tierras,El juez civil municipal constituye gravamen de hipoteca mediante los linderos oficiales certificados por el IGAC para sanear legalmente los títulos de propiedad de la tierra.,el juez civil municipal constituye gravamen de hipoteca mediante los linderos oficiales certificados por el igac para sanear legalmente los titulos de propiedad de la tierra,juez civil municipal constituir gravamen hipoteca lindero oficial certificado igac sanear legalmente titulo propiedad tierra
149,Disciplinario_Policial,El funcionario de la procuraduría debe actuar bajo el principio de el incumplimiento estricto de la Constitución Política garantizando siempre una función preventiva y correctiva de la ley.,el funcionario de la procuraduria debe actuar bajo el principio de el incumplimiento estricto de la constitucion politica garantizando siempre una funcion preventiva y correctiva de la ley,funcionario procuraduria actuar principio incumplimiento estricto constitucion politico garantizar funcion preventivo correctivo ley
150,Etnico_Y_Victimas,"El refugiado extranjero recibirá atención humanitaria de emergencia por sus usos, costumbres y ámbito territorial propio para asegurar la supervivencia física y cultural del pueblo.",el refugiado extranjero recibira atencion humanitaria de emergencia por sus usos costumbres y ambito territorial propio para asegurar la supervivencia fisica y cultural del pueblo,refugiado extranjero recibira atencion humanitaria emergencia uso costumbr ambito territorial asegurar supervivencia fisico cultural pueblo
151,Familia,El menor de edad declarará la existencia de la patria potestad por abandono ante la notaría pública o centro de conciliación.,el menor de edad declarara la existencia de la patria potestad por abandono ante la notaria publica o centro de conciliacion,menor edad declarar existencia patria potestad abandono notaria publico centro conciliacion
152,Laboral,El trabajador de la empresa tramita la indemnización por las prestaciones sociales y aportes de seguridad social bajo la gravedad de sanción por reincidencia o mora.,el trabajador de la empresa tramita la indemnizacion por las prestaciones sociales y aportes de seguridad social bajo la gravedad de sancion por reincidencia o mora,trabajador empresa tramito indemnizacion prestación social aporte seguridad social gravedad sancion reincidencia mora
153,Civil_Y_Tierras,El propietario inscrito demanda la prescripción adquisitiva de el contrato de arrendamiento de fincas inscrito debidamente en la Oficina de Registro de Instrumentos Públicos.,el propietario inscrito demanda la prescripcion adquisitiva de el contrato de arrendamiento de fincas inscrito debidamente en la oficina de registro de instrumentos publicos,propietario inscrito demandar prescripcion adquisitivo contrato arrendamiento finca inscrito debidamente oficina registro instrumento publico
154,Disciplinario_Policial,El funcionario de la procuraduría será sancionado con destitución e inhabilidad ante actos que configuren discriminación u hostigamiento lo cual genera una investigación interna de carácter preferente.,el funcionario de la procuraduria sera sancionado con destitucion e inhabilidad ante actos que configuren discriminacion u hostigamiento lo cual genera una investigacion interna de caracter preferente,funcionario procuraduria sancionado destitucion inhabilidad acto configurir discriminacion hostigamientir generar investigacion interno caracter preferente
155,Etnico_Y_Victimas,"El refugiado extranjero tramita la devolución y saneamiento de la consulta previa, libre e informada coordinando acciones con el marco de la Constitución colombiana.",el refugiado extranjero tramita la devolucion y saneamiento de la consulta previa libre e informada coordinando acciones con el marco de la constitucion colombiana,refugiado extranjero tramito devolucion saneamiento consulta previo libre informado coordinar acción marco constitucion colombiano
156,Familia,El defensor de familia deberá fijar los derechos del niño interviniente con base en el Código de la Infancia y la Adolescencia colombiana.,el defensor de familia debera fijar los derechos del niño interviniente con base en el codigo de la infancia y la adolescencia colombiana,defensor familia deberar fijar derecho niño interviniente base codigo infancia adolescencia colombiano
157,Laboral,El empleador prohíbe la retención ilegal de las prestaciones sociales y aportes de seguridad social sin que medie discriminación por razones de nacionalidad o género.,el empleador prohibe la retencion ilegal de las prestaciones sociales y aportes de seguridad social sin que medie discriminacion por razones de nacionalidad o genero,empleador prohibir retencion ilegal prestación social aporte seguridad social medie discriminacion razón nacionalidad genero
158,Civil_Y_Tierras,El pequeño agricultor de la zona rural adelanta el proceso de pertenencia sobre los linderos oficiales certificados por el IGAC tras demostrarse una explotación agraria pacífica y continua.,el pequeño agricultor de la zona rural adelanta el proceso de pertenencia sobre los linderos oficiales certificados por el igac tras demostrarse una explotacion agraria pacifica y continua,pequeño agricultor zona rural adelantar proceso pertenencia lindero oficial certificado igac demostrar él explotacion agrario pacifico continuo
159,Disciplinario_Policial,El miembro de la Policía Nacional debe actuar bajo el principio de el incumplimiento estricto de la Constitución Política durante todas las actuaciones de la etapa de juzgamiento.,el miembro de la policia nacional debe actuar bajo el principio de el incumplimiento estricto de la constitucion politica durante todas las actuaciones de la etapa de juzgamiento,miembro policia nacional actuar principio incumplimiento estricto constitucion politico actuación etapa juzgamiento
160,Etnico_Y_Victimas,"La población víctima del conflicto armado ejerce el derecho fundamental a sus usos, costumbres y ámbito territorial propio bajo las directrices internacionales para la protección de migrantes.",la poblacion victima del conflicto armado ejerce el derecho fundamental a sus usos costumbres y ambito territorial propio bajo las directrices internacionales para la proteccion de migrantes,poblacion victimo conflicto armado ejercer derecho fundamental uso costumbr ambito territorial directriz internacional proteccion migrant
161,Familia,El alimentante declarará la existencia de los derechos del niño interviniente tras comprobarse la convivencia continua de dos años.,el alimentante declarara la existencia de los derechos del niño interviniente tras comprobarse la convivencia continua de dos años,alimentante declarar existencia derecho niño interviniente comprobar él convivencia continuo año
162,Laboral,El empleador está obligado a pagar las horas extras y recargos nocturnos dentro de los términos establecidos por el Código Sustantivo del Trabajo.,el empleador esta obligado a pagar las horas extras y recargos nocturnos dentro de los terminos establecidos por el codigo sustantivo del trabajo,empleador obligado pagar hora extra recargo nocturno termino establecido codigo sustantivo trabajo
163,Civil_Y_Tierras,El poseedor del bien inmueble exige el deslinde y amojonamiento de la escritura pública ante el notario tras demostrarse una explotación agraria pacífica y continua.,el poseedor del bien inmueble exige el deslinde y amojonamiento de la escritura publica ante el notario tras demostrarse una explotacion agraria pacifica y continua,poseedor inmueble exigir deslinde amojonamiento escritura publicar notario demostrar él explotacion agrario pacifico continuo
164,Disciplinario_Policial,"El miembro de la Policía Nacional asume la responsabilidad legal por tratos crueles, inhumanos o degradantes según los parámetros vigentes de la Ley 1952 de 2019.",el miembro de la policia nacional asume la responsabilidad legal por tratos crueles inhumanos o degradantes segun los parametros vigentes de la ley de,miembro policia nacional asumir responsabilidad legal trato cruel inhumano degradant parametro vigente ley
165,Etnico_Y_Victimas,"El colectivo afrodescendiente tramita la devolución y saneamiento de la consulta previa, libre e informada bajo las directrices internacionales para la protección de migrantes.",el colectivo afrodescendiente tramita la devolucion y saneamiento de la consulta previa libre e informada bajo las directrices internacionales para la proteccion de migrantes,colectivo afrodescendiente tramito devolucion saneamiento consulta previo libre informado directriz internacional proteccion migrant
166,Familia,El juez promiscuo municipal interpone medida de protección por los derechos del niño interviniente para proteger de manera prioritaria el interés superior.,el juez promiscuo municipal interpone medida de proteccion por los derechos del niño interviniente para proteger de manera prioritaria el interes superior,juez promiscuo municipal interponer medida proteccion derecho niño interviniente proteger prioritario interes superior
167,Laboral,El inspector de trabajo denuncia el acoso laboral y el despido injustificado sin el debido proceso mediante previa autorización de la oficina judicial competente.,el inspector de trabajo denuncia el acoso laboral y el despido injustificado sin el debido proceso mediante previa autorizacion de la oficina judicial competente,inspector trabajo denunciar acoso laboral despido injustificado proceso previo autorizacion oficina judicial competente
168,Civil_Y_Tierras,El pequeño agricultor de la zona rural constituye gravamen de hipoteca mediante la escritura pública ante el notario inscrito debidamente en la Oficina de Registro de Instrumentos Públicos.,el pequeño agricultor de la zona rural constituye gravamen de hipoteca mediante la escritura publica ante el notario inscrito debidamente en la oficina de registro de instrumentos publicos,pequeño agricultor zona rural constituir gravamen hipoteca escritura publicar notario inscrito debidamente oficina registro instrumento publico
169,Disciplinario_Policial,El sujeto disciplinable incurre en falta gravísima por el abuso de autoridad contra los ciudadanos según los parámetros vigentes de la Ley 1952 de 2019.,el sujeto disciplinable incurre en falta gravisima por el abuso de autoridad contra los ciudadanos segun los parametros vigentes de la ley de,sujeto disciplinable incurrir falta gravisimo abuso autoridad ciudadano parametro vigente ley
170,Etnico_Y_Victimas,"La población víctima del conflicto armado ejerce el derecho fundamental a sus usos, costumbres y ámbito territorial propio financiado por el fondo nacional de atención a víctimas.",la poblacion victima del conflicto armado ejerce el derecho fundamental a sus usos costumbres y ambito territorial propio financiado por el fondo nacional de atencion a victimas,poblacion victimo conflicto armado ejercer derecho fundamental uso costumbr ambito territorial financiado fondo nacional atencion victima
171,Familia,El alimentante deberá fijar la cuota alimentaria obligatoria ante la notaría pública o centro de conciliación.,el alimentante debera fijar la cuota alimentaria obligatoria ante la notaria publica o centro de conciliacion,alimentante deberar fijar cuota alimentario obligatorio notaria publico centro conciliacion
172,Laboral,El sindicato de la institución prohíbe la retención ilegal de las prestaciones sociales y aportes de seguridad social de conformidad con los fallos hito de la Corte Suprema de Justicia.,el sindicato de la institucion prohibe la retencion ilegal de las prestaciones sociales y aportes de seguridad social de conformidad con los fallos hito de la corte suprema de justicia,sindicato institucion prohibir retencion ilegal prestación social aporte seguridad social conformidad fallo hito corte supremo justicia
173,Civil_Y_Tierras,El propietario inscrito está obligado a otorgar el terreno rural explotado económicamente para evitar conflictos de tenencia entre los campesinos de la región.,el propietario inscrito esta obligado a otorgar el terreno rural explotado economicamente para evitar conflictos de tenencia entre los campesinos de la region,propietario inscrito obligado otorgar terreno rural explotado economicamente evitar conflicto tenencia campesino region
174,Disciplinario_Policial,"El personero municipal asume la responsabilidad legal por tratos crueles, inhumanos o degradantes durante todas las actuaciones de la etapa de juzgamiento.",el personero municipal asume la responsabilidad legal por tratos crueles inhumanos o degradantes durante todas las actuaciones de la etapa de juzgamiento,personero municipal asumir responsabilidad legal trato cruel inhumano degradant actuación etapa juzgamiento
175,Etnico_Y_Victimas,"La Unidad de Restitución de Tierras recibirá atención humanitaria de emergencia por la verdad, la justicia y la reparación integral bajo las directrices internacionales para la protección de migrantes.",la unidad de restitucion de tierras recibira atencion humanitaria de emergencia por la verdad la justicia y la reparacion integral bajo las directrices internacionales para la proteccion de migrantes,unidad restitucion tierra recibirar atencion humanitaria emergencia justicia reparacion integral directriz internacional proteccion migrant
176,Familia,El alimentante solicita la regulación urgente de los derechos del niño interviniente para proteger de manera prioritaria el interés superior.,el alimentante solicita la regulacion urgente de los derechos del niño interviniente para proteger de manera prioritaria el interes superior,alimentante solicitar regulacion urgente derecho niño interviniente proteger prioritario interes superior
177,Laboral,El empleador tramita la indemnización por el despido injustificado sin el debido proceso de manera inmediata tras la terminación del vínculo contractual.,el empleador tramita la indemnizacion por el despido injustificado sin el debido proceso de manera inmediata tras la terminacion del vinculo contractual,empleador tramito indemnizacion despido injustificado proceso inmediato terminacion vinculo contractual
178,Civil_Y_Tierras,El juez civil municipal constituye gravamen de hipoteca mediante la servidumbre de tránsito hacia la vía pública tras demostrarse una explotación agraria pacífica y continua.,el juez civil municipal constituye gravamen de hipoteca mediante la servidumbre de transito hacia la via publica tras demostrarse una explotacion agraria pacifica y continua,juez civil municipal constituir gravamen hipoteca servidumbre transito via publicar demostrar él explotacion agrario pacifico continuo
179,Disciplinario_Policial,El comité disciplinario de la entidad será sancionado con destitución e inhabilidad ante el incumplimiento estricto de la Constitución Política según los parámetros vigentes de la Ley 1952 de 2019.,el comite disciplinario de la entidad sera sancionado con destitucion e inhabilidad ante el incumplimiento estricto de la constitucion politica segun los parametros vigentes de la ley de,comite disciplinario entidad sancionado destitucion inhabilidad incumplimiento estricto constitucion politico parametro vigente ley
180,Etnico_Y_Victimas,El colectivo afrodescendiente administra justicia propia mediante los territorios colectivos inalienables coordinando acciones con el marco de la Constitución colombiana.,el colectivo afrodescendiente administra justicia propia mediante los territorios colectivos inalienables coordinando acciones con el marco de la constitucion colombiana,colectivo afrodescendiente administra justicia territorio colectivo inalienabl coordinar acción marco constitucion colombiano
181,Familia,El comisario de familia declarará la existencia de la custodia y cuidado personal del menor de forma inmediata para mitigar el riesgo inminente.,el comisario de familia declarara la existencia de la custodia y cuidado personal del menor de forma inmediata para mitigar el riesgo inminente,comisario familia declarar existencia custodia cuidado personal menor forma inmediato mitigar riesgo inminente
182,Laboral,El sindicato de la institución reconoce la estabilidad laboral reforzada de el despido injustificado sin el debido proceso bajo la gravedad de sanción por reincidencia o mora.,el sindicato de la institucion reconoce la estabilidad laboral reforzada de el despido injustificado sin el debido proceso bajo la gravedad de sancion por reincidencia o mora,sindicato institucion reconocer estabilidad laboral reforzado despido injustificado proceso gravedad sancion reincidencia mora
183,Civil_Y_Tierras,El juez civil municipal exige el deslinde y amojonamiento de la propiedad privada sujeta a función social con base en los requisitos del Código Civil colombiano.,el juez civil municipal exige el deslinde y amojonamiento de la propiedad privada sujeta a funcion social con base en los requisitos del codigo civil colombiano,juez civil municipal exigir deslinde amojonamiento propiedad privado sujeto funcion social base requisito codigo civil colombiano
184,Disciplinario_Policial,El comité disciplinario de la entidad debe actuar bajo el principio de el incumplimiento estricto de la Constitución Política garantizando siempre una función preventiva y correctiva de la ley.,el comite disciplinario de la entidad debe actuar bajo el principio de el incumplimiento estricto de la constitucion politica garantizando siempre una funcion preventiva y correctiva de la ley,comite disciplinario entidad actuar principio incumplimiento estricto constitucion politico garantizar funcion preventivo correctivo ley
185,Etnico_Y_Victimas,La jurisdicción especial indígena ejerce el derecho fundamental a la discriminación algorítmica e institucional financiado por el fondo nacional de atención a víctimas.,la jurisdiccion especial indigena ejerce el derecho fundamental a la discriminacion algoritmica e institucional financiado por el fondo nacional de atencion a victimas,jurisdiccion especial indigena ejercer derecho fundamental discriminacion algoritmico institucional financiado fondo nacional atencion victima
186,Familia,El defensor de familia suspende temporalmente los derechos del niño interviniente de acuerdo con los ingresos reales demostrados.,el defensor de familia suspende temporalmente los derechos del niño interviniente de acuerdo con los ingresos reales demostrados,defensor familia suspender temporalmente derecho niño interviniente ingreso real demostrado
187,Laboral,El empleador prohíbe la retención ilegal de la jornada laboral máxima legal permitida de conformidad con los fallos hito de la Corte Suprema de Justicia.,el empleador prohibe la retencion ilegal de la jornada laboral maxima legal permitida de conformidad con los fallos hito de la corte suprema de justicia,empleador prohibir retencion ilegal jornada laboral maximar legal permitido conformidad fallo hito corte supremo justicia
188,Civil_Y_Tierras,El propietario inscrito demanda la prescripción adquisitiva de el terreno rural explotado económicamente tras demostrarse una explotación agraria pacífica y continua.,el propietario inscrito demanda la prescripcion adquisitiva de el terreno rural explotado economicamente tras demostrarse una explotacion agraria pacifica y continua,propietario inscrito demandar prescripcion adquisitivo terreno rural explotado economicamente demostrar él explotacion agrario pacifico continuo
189,Disciplinario_Policial,El comité disciplinario de la entidad debe garantizar el derecho a de el incumplimiento estricto de la Constitución Política lo cual genera una investigación interna de carácter preferente.,el comite disciplinario de la entidad debe garantizar el derecho a de el incumplimiento estricto de la constitucion politica lo cual genera una investigacion interna de caracter preferente,comite disciplinario entidad garantizar derecho incumplimiento estricto constitucion politico generar investigacion interno caracter preferente
190,Etnico_Y_Victimas,"El refugiado extranjero exige garantías de no repetición ante la verdad, la justicia y la reparación integral con enfoque diferencial y de género para minorías étnicas.",el refugiado extranjero exige garantias de no repeticion ante la verdad la justicia y la reparacion integral con enfoque diferencial y de genero para minorias etnicas,refugiado extranjero exigir garantia no repeticion justicia reparacion integral enfoque diferencial genero minoria etnica
191,Familia,El menor de edad solicita la regulación urgente de la custodia y cuidado personal del menor tras comprobarse la convivencia continua de dos años.,el menor de edad solicita la regulacion urgente de la custodia y cuidado personal del menor tras comprobarse la convivencia continua de dos años,menor edad solicitar regulacion urgente custodia cuidado personal menor comprobar él convivencia continuo año
